timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1562146772683,6213,GET LogIn Page,200,OK,TCJ_2_AddPost 2-10,text,true,,5018,778,9,9,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,6212,0,29
1562146775484,8302,GetNewPostPage,200,OK,TCJ_2_AddPost 2-4,text,true,,126873,1066,9,9,http://499.wordpress.imunify.local/wp-admin/post-new.php,8302,0,24
1562146775914,7138,PostTitle,200,OK,TCJ_2_AddPost 2-3,text,true,,741,1665,9,9,http://499.wordpress.imunify.local/wp-admin/admin-ajax.php,6907,0,25
1562146776879,13618,LOG IN,200,OK,TCJ_2_AddPost 2-6,text,true,,38441,1999,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,6446,0,24
1562146769707,6446,LOG IN-0,302,Moved Temporarily,TCJ_2_AddPost 2-6,text,true,,1142,891,9,9,http://499.wordpress.imunify.local/wp-login.php,6446,0,24
1562146776879,7171,LOG IN-1,200,OK,TCJ_2_AddPost 2-6,text,true,,37299,1108,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,7170,0,27
1562146776879,18396,Log In TRANSACTION,200,"Number of samples in transaction : 2, number of failing samples : 0",TCJ_2_AddPost 2-6,,true,,43459,2777,9,9,null,11224,11,48
1562146779923,13916,LOG IN,200,OK,TCJ_2_AddPost 2-7,text,true,,38441,1999,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,6292,0,24
1562146772299,6292,LOG IN-0,302,Moved Temporarily,TCJ_2_AddPost 2-7,text,true,,1142,891,9,9,http://499.wordpress.imunify.local/wp-login.php,6292,0,24
1562146779923,7623,LOG IN-1,200,OK,TCJ_2_AddPost 2-7,text,true,,37299,1108,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,7623,0,23
1562146779924,19445,Log In TRANSACTION,200,"Number of samples in transaction : 2, number of failing samples : 0",TCJ_2_AddPost 2-7,,true,,43459,2777,9,9,null,11821,9,48
1562146781399,8877,GetNewPostPage,200,OK,TCJ_2_AddPost 2-5,text,true,,126873,1066,9,9,http://499.wordpress.imunify.local/wp-admin/post-new.php,8877,0,24
1562146781609,16481,PostBody,200,OK,TCJ_2_AddPost 2-2,text,true,,131385,3443,9,9,http://499.wordpress.imunify.local/wp-admin/post.php?post=1128&action=edit&message=6,7572,0,28
1562146772700,7572,PostBody-0,302,Moved Temporarily,TCJ_2_AddPost 2-2,text,true,,510,2321,9,9,http://499.wordpress.imunify.local/wp-admin/post.php,7572,0,28
1562146781609,8908,PostBody-1,200,OK,TCJ_2_AddPost 2-2,text,true,,130875,1122,9,9,http://499.wordpress.imunify.local/wp-admin/post.php?post=1128&action=edit&message=6,8908,0,23
1562146783157,14372,LOG IN,200,OK,TCJ_2_AddPost 2-8,text,true,,38441,1999,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,5878,0,24
1562146774663,5878,LOG IN-0,302,Moved Temporarily,TCJ_2_AddPost 2-8,text,true,,1142,891,9,9,http://499.wordpress.imunify.local/wp-login.php,5878,0,24
1562146783157,8492,LOG IN-1,200,OK,TCJ_2_AddPost 2-8,text,true,,37299,1108,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,8492,0,23
1562146783157,20682,Log In TRANSACTION,200,"Number of samples in transaction : 2, number of failing samples : 0",TCJ_2_AddPost 2-8,,true,,43459,2777,9,9,null,12188,6,48
1562146783624,8135,PostTitle,200,OK,TCJ_2_AddPost 2-4,text,true,,741,1665,9,9,http://499.wordpress.imunify.local/wp-admin/admin-ajax.php,7903,0,25
1562146786002,9120,GetNewPostPage,200,OK,TCJ_2_AddPost 2-6,text,true,,126873,1066,9,9,http://499.wordpress.imunify.local/wp-admin/post-new.php,9119,0,24
1562146786267,15380,LOG IN,200,OK,TCJ_2_AddPost 2-9,text,true,,38441,1999,9,9,http://499.wordpress.imunify.local/wp-admin/about.php,6993,0,26
